nm_candidato,display_name,ig_handle,fb_handle,uf,ig_status,fb_status,observacoes
MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,MARIANA CARVALHO,,,RO,Pendente,Pendente,O que veio do CVS do Motta era marianacarvalho4545 para ambas as redes os que eu achei foram: marianacarvalho.ro para o insta
MARINA SANTOS BATISTA DIAS,DRA. MARINA,,DraMarinaPeloPiaui,PI,Erro,Validado,
MARLON ARATOR SANTOS DA ROSA,MARLON SANTOS,,,RS,Pendente,Pendente,Não consegui identificar nenhum e o handle do facebook marlonsantoscachoeira está inacessível.
MARX BELTRÃO LIMA SIQUEIRA,MARX BELTRÃO,@marxbeltrao,marxbeltrao,AL,Validado,Validado,
MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR,MARÍLIA ARRAES,mariliaarraes,arraes,PE,Validado,Validado,
MAURO NAZIF RASUL,DR. MAURO NAZIF,drmauronazif_,DrMauroNazif,RO,Validado,Validado,
MAURO RIBEIRO LOPES,MAURO LOPES,deputadomaurolopes,deputadomaurolopes,MG,Validado,Validado,
MAURÍCIO ALEXANDRE DZIEDRICKI,MAURÍCIO DZIEDRICKI,@depmauriciors,mauricioptbrs,RS,Validado,Erro,
MIGUEL LOMBARDI,MIGUEL LOMBARDI,dep.miguellombardi,miguellombardi.deputadofederal,SP,Validado,Validado,
MILTON VIEIRA PINTO,MILTON VIEIRA,miltonvieiraoficial,miltonvieiraoficial,SP,Validado,Validado,
MISAEL ARTUR FERREIRA VARELLA,MISAEL VARELLA,misaelvarella,deputadomisaelvarella,MG,Validado,Validado,
MOSES HAENDEL MELO RODRIGUES,MOSES RODRIGUES,mosesrodriguesoficial,MosesRodriguesOficial,CE,Validado,Validado,
MÁRCIO DA SILVEIRA LABRE,MÁRCIO LABRE,,,RJ,Pendente,Pendente,
MÁRCIO JERRY SARAIVA BARROSO,MÁRCIO JERRY,marciojerry,marciojerry,MA,Validado,Validado,
MÁRIO LÚCIO HERINGER,DR. MÁRIO HERINGER,deputadomarioheringer,deputadomarioheringer,MG,Validado,Validado,
MÁRIO SILVIO MENDES NEGROMONTE JÚNIOR,MÁRIO NEGROMONTE JR,marionegromontejr,,BA,Validado,Pendente,
NATALIA BASTOS BONAVIDES,NATALIA BONAVIDES,nataliabonavides,nataliabonavides,RN,Validado,Validado,
NELSI COGUETTO MARIA,VERMELHO,deputado_vermelho,deputadovermelho,PR,Validado,Validado,
NELSON NED PREVIDENTE,NELSON BARBUDO,nelsonbarbudo,onelsonbarbudo,MT,Validado,Validado,
NELSON VICENTE PORTELA PELLEGRINO,PELEGRINO,,,BA,Pendente,Pendente,
NEREU CRISPIM,NEREU CRISPIN,nereucrispim,nereucrispim,RS,Validado,Validado,
NEWTON CARDOSO JÚNIOR,NEWTON CARDOSO JR,@newtoncardosojr,,MG,Validado,Pendente,
NEY LEPREVOST NETO,NEY LEPREVOST,@neyleprevost,amigoneyleprevost,PR,Validado,Validado,
NICOLINO BOZZELLA JUNIOR,JUNIOR BOZZELLA,jrbozzella,,SP,Validado,Pendente,
NILSON PINTO DE OLIVEIRA,NILSON PINTO,nilsonpintooficial,,PA,Validado,Pendente,
NILTO IGNACIO TATTO,NILTO TATTO,niltotatto,niltotattosp,SP,Validado,Validado,
NIVALDO FERREIRA DE ALBUQUERQUE NETO,NIVALDO ALBUQUERQUE,nivaldoalbuquerque,DeputadoNivaldoAlbuquerque,AL,Validado,Validado,
NORMA AYUB ALVES,NORMA AYUB,normaayub,DeputadaNormaAyub,ES,Validado,Validado,
ODAIR JOSÉ DA CUNHA,ODAIR CUNHA,odaircunhamg,odaircunhamg,MG,Validado,Validado,
OLAVO BILAC PINTO NETO,BILAC PINTO,@bilacpinto,,MG,Validado,Pendente,
OLIVAL HENRIQUE MARQUES DE SOUZA,OLIVAL MARQUES,OlivalMarques,OlivalMarquesOficial,PA,Validado,Validado,
ONYX DORNELLES LORENZONI,ONYX LORENZONI,onyxlorenzoni,onyx.lorenzoni,RS,Validado,Validado,
ORLANDO SILVA DE JESUS JUNIOR,ORLANDO SILVA,orlandosilvasp,orlandosilvasp,SP,Validado,Validado,
OSIRES RODRIGUES DAMASO,OSIRES DAMASO,osiresdamaso,OsiresDamaso,TO,Validado,Validado,
OSMAR GASPARINI TERRA,OSMAR TERRA,terra.osmar,DeputadoOsmarTerra,RS,Validado,Validado,
OSSESIO JOSE DA SILVA,BISPO OSSESIO,ossesio.silva,ossesio.silva,PE,Validado,Validado,
OTONI MOURA DE PAULO JUNIOR,OTONI DE PAULA,otonidepaulaoficial,OtoniDeputadoFederal,RJ,Validado,Validado,
OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,OTTO ALENCAR FILHO,ottofilho.oficial,otto.filho.oficial,BA,Validado,Validado,
PABLO OLIVA SOUZA,DELEGADO PABLO,delegadopablo,delegadopablo,AM,Validado,Validado,
PATRUS ANANIAS DE SOUZA,PATRUS ANANIAS,patrus_ananias,patrusananias13,MG,Validado,Validado,
PAULA MORENO PARO BELMONTE,PAULA BELMONTE,paulabelmonteoficial,paulabelmonteoficial,DF,Validado,Validado,
PAULO ABI-ACKEL,PAULO ABI ACKEL,pauloabiackel,abiackelpaulo,MG,Validado,Validado,
PAULO EDUARDO LIMA MARTINS,PAULO MARTINS,,PauloEduardoOficial,PR,Pendente,Validado,
PAULO EDUARDO MAESTRI BENGTSON,PAULO BENGTSON,paulobengtson,prpaulobengtson,PA,Validado,Validado,Ele é pastor. Verificar separação de contas políticas e pessoais?
PAULO FERNANDO DOS SANTOS,PAULÃO,paulaodopt,paulaodopt,AL,Validado,Validado,
PAULO GUSTAVO GANIME ALVES TEIXEIRA,PAULO GANIME,pauloganime,pauloganime,RJ,Validado,Validado,
PAULO JOSÉ CARLOS GUEDES,PAULO GUEDES,deputadopauloguedes,pauloguedesmg,MG,Validado,Validado,
PAULO PEREIRA DA SILVA,PAULINHO DA FORÇA,,paulinho.face,SP,Pendente,Validado,
PAULO ROBERTO FOLETTO,FOLETTO,paulo.folletto,foletto.paulo,ES,Validado,Validado,
PAULO ROBERTO FREIRE DA COSTA,PAULO FREIRE COSTA,deppaulofreire,deputadopaulofreire,SP,Validado,Validado,
PAULO ROBERTO SEVERO PIMENTA,PAULO PIMENTA,,,RS,Pendente,Pendente,"Acho que apagou as contas, ou nunca teve"
PAULO SERGIO ABOU ANNI,ABOU ANNI,abouanni,DeputadoFederalAbouAnni,SP,Validado,Validado,
PAULO SERGIO RAMOS BARBOZA,PAULO RAMOS,,,RJ,Pendente,Pendente,"Tinha o handler ""deputadopauloramosrj"" para ambas as redes mas nenhum deles está acessível."
PAULO VELLOSO DANTAS AZI,PAULO AZI,,PauloAzi,BA,Pendente,Validado,"Achei os handlers para IG como ""PauloAziofcial"" e ""pauloazi"" mas nenhum está acessível."
PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES,PEDRO BEZERRA,pedroaugustobezerradep,pedrobezerradep,CE,Validado,Validado,
PEDRO BANDARRA WESTPHALEN,PEDRO WESTPHALEN,pedrowestphalen,,RS,Validado,Pendente,
PEDRO DEBONI LUPION MELLO,PEDRO LUPION,pedrolupion,DeputadoPedroLupion,PR,Validado,Validado,
PEDRO FRANCISCO UCZAI,PROFESSOR PEDRO UCZAI,pedro.uczai,PedroUczai,SC,Validado,Validado,
PEDRO LUCAS ANDRADE FERNANDES RIBEIRO,PEDRO LUCAS FERNANDES,_pedrolucasfernandes,,MA,Validado,Pendente,
PEDRO OLIVEIRA CUNHA LIMA,PEDRO CUNHA LIMA,,,PB,Pendente,Pendente,Não achei nada
PEDRO PAULO CARVALHO TEIXEIRA,PEDRO PAULO,rio.pedropaulo,rio.pedropaulo,RJ,Validado,Validado,
RAFAEL HUETE DA MOTTA,RAFAEL MOTTA,rafaelmottarn,rafaelmottarn,RN,Validado,Validado,
RAIMUNDO MAGALHÃES COSTA,RAIMUNDO COSTA,oficialraimundocosta,oficialraimundocosta,BA,Validado,Validado,
RAUL JEAN LOUIS HENRY JUNIOR,RAUL HENRY,raulhenryoficial,RaulHenryPE,PE,Validado,Validado,
REGINALDO LAZARO DE OLIVEIRA LOPES,REGINALDO LOPES,reginaldolopesmg,reginaldolopesmg,MG,Validado,Validado,
REJANE RIBEIRO SOUSA DIAS,REJANE DIAS,rejane.dias,,PI,Validado,Pendente,
RENATA HELLMEISTER DE ABREU,RENATA ABREU,,renataabreu1919,SP,Pendente,Validado,"O handler do IG ""renataabreu1919"" está indisponível. No site dela é o indicado como instagram oficial"
RENILDO VASCONCELOS CALHEIROS,RENILDO CALHEIROS,renildocalheiros,renildovcalheiros,PE,Validado,Validado,
RICARDO IZAR JUNIOR,RICARDO IZAR,deputadoricardoizar,deputadoricardoizar,SP,Validado,Validado,
RICARDO JOSE MAGALHÃES BARROS,RICARDO BARROS,,ricardobarrosoficial,PR,Pendente,Validado,
RICARDO TEOBALDO CAVALCANTI,RICARDO TEOBALDO,ricardoteobaldo,ricardoteobaldooficial,PE,Pendente,Pendente,
RICARDO ZANATTA GUIDI,RICARDO GUIDI,ricardozguidi,deputadoricardoguidi,SC,Pendente,Pendente,
ROBERTO ALVES DE LUCENA,ROBERTO DE LUCENA,@robertodelucena,dep.lucena,SP,Pendente,Pendente,
ROBERTO SEBASTIÃO PETERNELLI JUNIOR,GENERAL PETERNELLI,generalpeternelli,generalpeternelli,SP,Pendente,Pendente,
ROBERTO SOARES PESSOA,ROBERTO PESSOA,robertopessoaoficial,RobertoPessoaOficial,CE,Pendente,Pendente,
RODRIGO ANTONIO DE AGOSTINHO MENDONÇA,RODRIGO AGOSTINHO,rodrigoagostinho,RodrigoAgostinhoDeputado,SP,Pendente,Pendente,
RODRIGO BATISTA DE CASTRO,RODRIGO DE CASTRO,@rodrigodecastrooficial,,MG,Pendente,Pendente,
RODRIGO COELHO,RODRIGO COELHO,coelho_rodrigo,rodrigocoelhooficial,SC,Pendente,Pendente,
RODRIGO FELINTO IBARRA EPITÁCIO MAIA,RODRIGO MAIA,rodrigomaiarj,rodrigomaiarj,RJ,Pendente,Pendente,
ROGERIO CORREIA DE MOURA BAPTISTA,ROGÉRIO CORREIA,rogeriocorreia_,deputadorogeriocorreia,MG,Pendente,Pendente,
ROGERIO MENDONÇA,PENINHA,deputadopeninha,deputadopeninha,SC,Pendente,Pendente,
ROGERIO TEIXEIRA JUNIOR,JUNINHO DO PNEU,juninhodopneu,juninhodopneu01,RJ,Pendente,Pendente,
RONALDO CARLETTO,RONALDO CARLETTO,@ronaldocarletto,,BA,Pendente,Pendente,
ROSA NEIDE SANDES DE ALMEIDA,PROFESSORA ROSA NEIDE,prof_rosaneide,ProfessoraRosaNeide,MT,Pendente,Pendente,
ROSANA DE OLIVEIRA VALLE,ROSANA VALLE,rosanavalleoficial,RosanaValleOficial,SP,Pendente,Pendente,
ROSANGELA DE SOUZA GOMES,ROSANGELA GOMES,rosangelasgomes,,RJ,Pendente,Pendente,
ROSIANE MODESTO DE OLIVEIRA,ROSE MODESTO,@rosemodestoms,rosemodestoms,MS,Pendente,Pendente,
RUBENS BUENO,RUBENS BUENO,rbueno23,rubensbuenosegundoperfil,PR,Pendente,Pendente,
RUBENS OTONI GOMIDE,RUBENS OTONI,@rubensotoni,,GO,Pendente,Pendente,
RUBENS PEREIRA E SILVA JUNIOR,RUBENS JUNIOR,@rubenspereirajr,rubenspereirajr,MA,Pendente,Pendente,
RUI GOETHE DA COSTA FALCÃO,RUI FALCÃO,ruifalcao13,rfalcao13,SP,Pendente,Pendente,
RUY MANUEL CARNEIRO BARBOSA DE AÇA BELCHIOR,RUY CARNEIRO,ruy.carneiro,ruycarneiropb,PB,Pendente,Pendente,
SAMIA DE SOUZA BOMFIM,SÂMIA BOMFIM,samiabomfim,samia.bomfim.psol,SP,Pendente,Pendente,
SAMUEL MOREIRA DA SILVA JÚNIOR,SAMUEL MOREIRA,depsamuelmoreira,DeputadoSamuelMoreira,SP,Pendente,Pendente,
SANDRO ALEX CRUZ DE OLIVEIRA,SANDRO ALEX,@sandro_alex_parana,sandroalex,PR,Pendente,Pendente,
SEBASTIÃO IGNACIO DE OLIVEIRA JUNIOR,SEBASTIÃO OLIVEIRA,deputadosebastiaooliveira,deputadosebastiaooliveira,PE,Pendente,Pendente,
SERGIO DE SOUZA,SÉRGIO SOUZA,sergiosouzapr,sergiosouzaPR,PR,Pendente,Pendente,
SERGIO LUIS LACERDA BRITO,SÉRGIO BRITO,@sergiobritoba,,BA,Pendente,Pendente,
SEVERINO DE LIRA PESSÔA,SEVERINO PESSÔA,@severinopessoa_oficial,,AL,Pendente,Pendente,
SHÉRIDAN ESTÉRFANY OLIVEIRA DE ANCHIETA,SHÉRIDAN,@sheridan_anchieta,SheridanRR,RR,Pendente,Pendente,
SIDNEY RICARDO DE OLIVEIRA LEITE,SIDNEY LEITE,sidneyleite,leitesidney,AM,Pendente,Pendente,
SILAS CÂMARA,SILAS CÂMARA,@silascamara_,depsilas,AM,Pendente,Pendente,
SILVIA CRISTINA AMANCIO CHAGAS,SILVIA CRISTINA,@silviacristinaoficial,silviacristina.chagas,RO,Pendente,Pendente,
SILVIO SERAFIM COSTA FILHO,SILVIO COSTA FILHO,silviocostafilho,silvio.costafilhoi,PE,Pendente,Pendente,
SORAYA ALENCAR DOS SANTOS,SORAYA SANTOS,dep.sorayasantos,,RJ,Pendente,Pendente,
SORAYA DE SOUZA MANNATO,DRA. SORAYA MANATO,@sorayamannato,soraya.manato.7,ES,Pendente,Pendente,
STEFANO AGUIAR DOS SANTOS,STEFANO AGUIAR,depstefano,PastorStefanoAguiar,MG,Pendente,Pendente,
SÉRGIO TOLEDO DE ALBUQUERQUE,SÉRGIO TOLEDO,deputadosergiotoledo,deputadosergiotoledo,AL,Pendente,Pendente,
SÓSTENES SILVA CAVALCANTE,SÓSTENES,sostenescavalcante,sostenescavalcante,RJ,Pendente,Pendente,
TABATA CLAUDIA AMARAL DE PONTES,TABATA AMARAL,tabataamaralsp,tabataamaralSP,SP,Pendente,Pendente,
TALIRIA PETRONE SOARES,TALÍRIA PETRONE,taliriapetrone,taliriapetronepsol,RJ,Pendente,Pendente,
TEREZA CRISTINA CORREA DA COSTA DIAS,TEREZA CRISTINA,@terezacristinams,TerezaCristinaMS,MS,Pendente,Pendente,
TEREZA NELMA DA SILVA PORTO VIANA SOARES,TEREZA NELMA,terezanelmaal,TerezaNelmaAL,AL,Pendente,Pendente,
TIAGO BRAGA PEREIRA,TIAGO DIMAS,@tiagomitraud,tiagodimas7788,TO,Pendente,Pendente,
TIAGO LIMA MITRAUD DE CASTRO LEITE,TIAGO MITRAUD,tiagomitraud,tiagomitraud,MG,Pendente,Pendente,
TÚLIO GADELHA SALES DE MELO,TÚLIO GADÊLHA,tulio.gadelha,TulioGadelhaOficial,PE,Pendente,Pendente,
UBIRAJARA DO PINDARÉ ALMEIDA SOUSA,BIRA DO PINDARÉ,biradopindare,bira.dopindare,MA,Pendente,Pendente,
UBIRATAN ANTUNES SANDERSON,SANDERSON FEDERAL,sanderson.federal,sanderson.federal,RS,Pendente,Pendente,
ULDURICO ALENCAR PINTO,ULDÚRICO JÚNIOR,ulduricojr,ulduricojunior,BA,Pendente,Pendente,
VALMIR CARLOS DA ASSUNÇÃO,VALMIR ASSUNÇÃO,@valmirassuncaopt,,BA,Pendente,Pendente,
VANDA DENIR MILANI NOGUEIRA,DRA. VANDA MILANI,@vandamilanioficial,,AC,Pendente,Pendente,
VANDER ALBERTO MASSON,VANDER MASSON,@vandermasson,,MT,Pendente,Pendente,
VANDER LUIZ DOS SANTOS LOUBET,VANDER LOUBET,vanderloubet,,MS,Pendente,Pendente,
VANDERLEI MACRIS,VANDERLEI MACRIS,@vanderleimacris,,SP,Pendente,Pendente,
VICENTE ALVES DE OLIVEIRA JUNIOR,VICENTINHO JUNIOR,@vicentinhojunior,VicentinhoJr,TO,Pendente,Pendente,
VICENTE PAULO DA SILVA,VICENTINHO,vicentinho_pt,DeputadoFederalVicentinho,SP,Pendente,Pendente,
VILSON LUIZ DA SILVA,VILSON DA FETAEMG,vilsondafetaemg,VilsondaFetaemg,MG,Pendente,Pendente,
VINICIUS LAZZER POIT,VINICIUS POIT,viniciuspoit,viniciuspoit,SP,Pendente,Pendente,
VINICIUS MEDEIROS FARAH,VINÍCIUS FARAH,@viniciusfarahoficial,,RJ,Pendente,Pendente,
VINICIUS RAPOZO DE CARVALHO,VINICIUS CARVALHO,viniciuscarvalhooficial,ViniciusCarvalhoOficial,SP,Pendente,Pendente,
VINÍCIUS DE AZEVEDO GURGEL,VINÍCIUS,@viniciusgurgeloficial,,AP,Pendente,Pendente,
VITOR HUGO DE ARAUJO ALMEIDA,MAJOR VITOR HUGO,majorvitorhugo,Majorvitorhugo,GO,Pendente,Pendente,
VITOR LIPPI,VITOR LIPPI,vitorlippi,vitorlippi,SP,Pendente,Pendente,
WAGNER BACH MARTINS,VAVÁ MARTINS,vavamartinsoficial,vavamartinsoficial,PA,Pendente,Pendente,
WAGNER MONTES DOS SANTOS,WAGNER MONTES,@wagnermontesfilho,,RJ,Pendente,Pendente,
WAGNER SOUSA GOMES,CAPITÃO WAGNER,capitaowagnersousa,capitaowagnersousa,CE,Pendente,Pendente,
WALDENOR ALVES PEREIRA FILHO,WALDENOR PEREIRA,@waldenorpereira,,BA,Pendente,Pendente,
WALDIR SOARES DE OLIVEIRA,DELEGADO WALDIR,delegadowaldir,delegado.waldir,GO,Pendente,Pendente,
WALTER PEREIRA ALVES,WALTER ALVES,@walteralvesrn,,RN,Pendente,Pendente,
WELITON FERNANDES PRADO,WELITON PRADO,weliton.prado,welitonpradodeputado,MG,Pendente,Pendente,
WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,WLADIMIR GAROTINHO,@wladimirgarotinho,wladimirgarotinhoo,RJ,Pendente,Pendente,
WOLNEY QUEIROZ MACIEL,WOLNEY QUEIROZ,@wolneyqueirozoficial,WolneyQueirozOficial,PE,Pendente,Pendente,
ZACARIAS CALIL HAMU,DR. ZACARIAS CALIL,@dr.zacariascalil,drzacariascalil,GO,Pendente,Pendente,
ÁTILA FREITAS LIRA,ÁTILA LIRA,atilaliraoficial,@atilalira4040,PI,Pendente,Pendente,
ÁUREA CAROLINA DE FREITAS E SILVA,AUREA CAROLINA,aureacarolina,aureacarolina,MG,Pendente,Pendente,
ÉDER MAURO CARDOSO BARRA,DELEGADO ÉDER MAURO,edermauropa,edermauropa,PA,Pendente,Pendente,
